rssi, rscp, ecio, rsrp, rsrq, bars, sinr, end, datetime
-81, 0, 0, -113, -13, 2, 1, , 2020-08-16T10:11:21.445591
-79, 0, 0, -113, -13, 2, 1, , 2020-08-16T10:11:22.760666
-79, 0, 0, -113, -13, 2, 1, , 2020-08-16T10:11:24.081742
-79, 0, 0, -113, -13, 2, 1, , 2020-08-16T10:11:25.398817
-79, 0, 0, -113, -13, 2, 1, , 2020-08-16T10:11:26.718893
-81, 0, 0, -113, -12, 2, 2, , 2020-08-16T10:11:28.059969
-81, 0, 0, -113, -12, 2, 2, , 2020-08-16T10:11:29.345043
-81, 0, 0, -113, -13, 2, 1, , 2020-08-16T10:11:30.662118
-81, 0, 0, -113, -13, 2, 1, , 2020-08-16T10:11:31.994194
-81, 0, 0, -113, -13, 2, 1, , 2020-08-16T10:11:33.301269
-81, 0, 0, -113, -12, 2, 3, , 2020-08-16T10:11:34.620345
-81, 0, 0, -113, -12, 2, 3, , 2020-08-16T10:11:35.944420
-81, 0, 0, -113, -13, 2, 2, , 2020-08-16T10:11:37.260496
-81, 0, 0, -113, -13, 2, 2, , 2020-08-16T10:11:38.582571
-77, 0, 0, -113, -13, 2, 1, , 2020-08-16T10:11:39.900647
-77, 0, 0, -113, -13, 2, 1, , 2020-08-16T10:11:41.218722
-77, 0, 0, -113, -14, 2, 2, , 2020-08-16T10:11:42.539798
-77, 0, 0, -113, -14, 2, 2, , 2020-08-16T10:11:43.864873
-77, 0, 0, -113, -14, 2, 2, , 2020-08-16T10:11:45.180949
-80, 0, 0, -113, -13, 2, 3, , 2020-08-16T10:11:46.500024
-80, 0, 0, -113, -13, 2, 3, , 2020-08-16T10:11:47.836101
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:11:49.157176
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:11:50.501253
-78, 0, 0, -112, -13, 2, 1, , 2020-08-16T10:11:51.799327
-78, 0, 0, -112, -13, 2, 1, , 2020-08-16T10:11:53.115403
-78, 0, 0, -112, -13, 2, 1, , 2020-08-16T10:11:54.439478
-78, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:11:55.739553
-78, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:11:57.060628
-78, 0, 0, -112, -13, 2, 1, , 2020-08-16T10:11:58.378704
-78, 0, 0, -112, -13, 2, 1, , 2020-08-16T10:11:59.702779
-78, 0, 0, -113, -14, 2, 1, , 2020-08-16T10:12:01.020855
-78, 0, 0, -113, -14, 2, 1, , 2020-08-16T10:12:02.340930
-78, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:12:03.681007
-78, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:12:05.036084
-78, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:12:06.338159
-78, 0, 0, -111, -13, 2, 4, , 2020-08-16T10:12:07.658234
-78, 0, 0, -111, -13, 2, 4, , 2020-08-16T10:12:08.996311
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:10.300385
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:11.602460
-78, 0, 0, -112, -14, 2, 2, , 2020-08-16T10:12:12.921535
-78, 0, 0, -112, -14, 2, 2, , 2020-08-16T10:12:14.277613
-78, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:12:15.599689
-78, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:12:16.918764
-78, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:12:18.255841
-78, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:12:19.578916
-78, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:12:20.896992
-78, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:12:22.253069
-78, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:12:23.557144
-78, 0, 0, -112, -14, 2, 1, , 2020-08-16T10:12:24.877219
-78, 0, 0, -112, -14, 2, 1, , 2020-08-16T10:12:26.243297
-78, 0, 0, -112, -14, 2, 1, , 2020-08-16T10:12:27.575374
-78, 0, 0, -112, -14, 2, 1, , 2020-08-16T10:12:28.900449
-78, 0, 0, -112, -14, 2, 1, , 2020-08-16T10:12:30.234526
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:31.558601
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:32.874677
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:34.215753
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:35.535829
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:36.872905
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:38.216982
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:39.535058
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:40.857133
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:42.197210
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:43.533286
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:44.854362
-80, 0, 0, -112, -12, 2, 3, , 2020-08-16T10:12:46.220440
-80, 0, 0, -112, -12, 2, 3, , 2020-08-16T10:12:47.537515
-80, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:12:48.859591
-80, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:12:50.213668
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:51.575746
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:52.896822
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:54.235898
-80, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:55.553974
-80, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:56.879050
-80, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:58.215126
-80, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:12:59.535202
-80, 0, 0, -112, -12, 2, 2, , 2020-08-16T10:13:00.854277
-80, 0, 0, -112, -12, 2, 2, , 2020-08-16T10:13:02.212355
-80, 0, 0, -113, -14, 2, 1, , 2020-08-16T10:13:03.536430
-80, 0, 0, -113, -14, 2, 1, , 2020-08-16T10:13:04.856506
-80, 0, 0, -113, -14, 2, 1, , 2020-08-16T10:13:06.196583
-80, 0, 0, -112, -13, 2, 4, , 2020-08-16T10:13:07.514658
-80, 0, 0, -112, -13, 2, 4, , 2020-08-16T10:13:08.816732
-80, 0, 0, -112, -13, 2, 4, , 2020-08-16T10:13:10.148809
-80, 0, 0, -112, -13, 2, 4, , 2020-08-16T10:13:11.459884
-80, 0, 0, -112, -13, 2, 4, , 2020-08-16T10:13:12.773959
-80, 0, 0, -112, -13, 2, 4, , 2020-08-16T10:13:14.113035
-80, 0, 0, -112, -13, 2, 4, , 2020-08-16T10:13:15.441111
-80, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:13:16.754186
-80, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:13:18.072262
-80, 0, 0, -112, -13, 2, 1, , 2020-08-16T10:13:19.397338
-80, 0, 0, -112, -13, 2, 1, , 2020-08-16T10:13:20.732414
-80, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:13:22.052489
-80, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:13:23.377565
-78, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:13:24.691640
-78, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:13:26.012716
-78, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:13:27.315791
-80, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:13:28.651867
-80, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:13:29.952941
-80, 0, 0, -112, -14, 2, 2, , 2020-08-16T10:13:31.259016
-80, 0, 0, -112, -14, 2, 2, , 2020-08-16T10:13:32.593092
-80, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:13:33.911168
-80, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:13:35.219243
-80, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:13:36.533318
-80, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:13:37.856393
-80, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:13:39.194470
-80, 0, 0, -113, -13, 2, 1, , 2020-08-16T10:13:40.513545
-80, 0, 0, -113, -13, 2, 1, , 2020-08-16T10:13:41.854622
-80, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:13:43.170697
-80, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:13:44.490773
-78, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:13:45.830850
-78, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:13:47.152925
-78, 0, 0, -112, -14, 2, 2, , 2020-08-16T10:13:48.478001
-78, 0, 0, -112, -14, 2, 2, , 2020-08-16T10:13:49.795076
-78, 0, 0, -112, -14, 2, 2, , 2020-08-16T10:13:51.129153
-81, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:13:52.449228
-81, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:13:53.790305
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:13:55.109380
-78, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:13:56.417455
-80, 0, 0, -112, -13, 2, 4, , 2020-08-16T10:13:57.731530
-80, 0, 0, -112, -13, 2, 4, , 2020-08-16T10:13:59.073607
-80, 0, 0, -112, -13, 2, 4, , 2020-08-16T10:14:00.407683
-80, 0, 0, -112, -13, 2, 4, , 2020-08-16T10:14:01.734759
-80, 0, 0, -112, -13, 2, 4, , 2020-08-16T10:14:03.050834
-80, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:14:04.408912
-80, 0, 0, -112, -13, 2, 2, , 2020-08-16T10:14:05.712987
-78, 0, 0, -112, -12, 2, 3, , 2020-08-16T10:14:07.031062
-78, 0, 0, -112, -12, 2, 3, , 2020-08-16T10:14:08.350138
-81, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:14:09.673213
-81, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:14:10.993289
-81, 0, 0, -112, -13, 2, 3, , 2020-08-16T10:14:12.329365
-78, 0, 0, -113, -14, 2, 1, , 2020-08-16T10:14:13.651441
-78, 0, 0, -113, -14, 2, 1, , 2020-08-16T10:14:14.955515
